Group,Object Name,Time of Year,RA,DEC
Young Open cluster,NGC 2453,Dec-Feb,116.90273,-27.193
Young Open cluster,NGC 4755,Mar-May,193.4160417,-60.35886111
Young Open cluster,NGC 3293,Mar-May,158.85,-58.2333
Young Open cluster,NGC 6231,Jun-Aug,253.53009,-41.82267
Old Open Cluster,NGC 2506,Dec-Feb,120.0041667,-10.77
Old Open Cluster,NGC 2477,Dec-Feb,118.0416667,-38.53
Old Open Cluster,Collinder 261,Mar-May,189.54385,-68.36794
Old Open Cluster,IC 4651,Jun-Aug,261.2041667,-49.93333333
Old Open Cluster,NGC 2204,Sep-Nov,93.8875,-18.665
Globular cluster,NGC 2298,Dec-Feb,102.24664,-36.00531
Globular cluster,NGC 5139,Mar-May,201.69648,-47.48017
Globular cluster,M4,Mar-May,245.89675,-26.52575
Globular cluster,M80,Jun-Aug,244.26004,-22.97608
Globular cluster,NGC 104,Sep-Nov,6.02369,-72.08228
Globular cluster,NGC 288,Sep-Nov,13.1885,-26.58261111
Spiral Galaxy,NGC 2997,Dec-Feb,146.41147,-31.19093
Spiral Galaxy,M83,Mar-May,204.25182,-29.86716
Spiral Galaxy,IC 5332,Jun-Aug,353.6145333,-36.10108056
Spiral Galaxy,NGC 1187,Sep-Nov,45.65662132,-22.86735086
Barred Spiral Galaxy,NGC 2442,Dec-Feb,114.0993417,-69.53082222
Barred Spiral Galaxy,NGC 5068,Mar-May,199.7283625,-21.0391
Barred Spiral Galaxy,NGC 6744,Jun-Aug,287.4420792,-63.85753889
Barred Spiral Galaxy,NGC 1365,Sep-Nov,53.40191,-36.14066
Elliptical Galaxy,NGC 1549,Dec-Feb,63.93842,-55.59236
Elliptical Galaxy,NGC 4696,Mar-May,192.2053208,-41.31108889
Elliptical Galaxy,IC 1459,Jun-Aug,344.29419,-36.46222
Elliptical Galaxy,NGC 1399,Sep-Nov,54.62117917,-35.45074167
Elliptical Galaxy,NGC 1427A,Sep-Nov,55.0375,-35.62611111
Irregular Galaxy,NGC 3109,Mar-May,150.77865,26.15957
Irregular Galaxy,IC 4710,Jun-Aug,277.1582042,-66.98227778
Starburst Galaxy,NGC 5128,Mar-May,201.36506,-43.01911
Starburst Galaxy,NGC 253,Sep-Nov,11.88805833,-25.2888
Lenticular Galaxy,NGC 1553,Dec-Feb,64.04363,-55.78003
Lenticular Galaxy,NGC 3585,Mar-May,168.32129,-26.75499
Lenticular Galaxy,NGC 6861,Jun-Aug,301.8333,48.3703
Lenticular Galaxy,NGC 1316,Sep-Nov,50.67412,-37.2082
Interacting Galaxies,NGC 1532,Dec-Feb,63.01806,-32.87421
Interacting Galaxies,NGC 1512,Dec-Feb,60.92041,-43.37748
Interacting Galaxies,NGC 3256,Mar-May,156.96368,-43.90376
Interacting Galaxies,NGC 6872,Jun-Aug,304.23501,-70.76808
Interacting Galaxies,NGC 1097,Sep-Nov,41.57941,-30.27491
Dwarf Galaxy,NGC 2915,Dec-Feb,141.55417,-76.62672
Dwarf Galaxy,Sculptor Dwarf Galaxy,Sep-Nov,15.03916667,-33.70888889
Dwarf Galaxy,Phoenix Dwarf,Sep-Nov,27.77625,-44.44472222
Galaxy cluster,Antlia Cluster,Dec-Feb,157.4212321,-35.3258079
Galaxy cluster,Abell 1060,,159.15,-27.51777778
Galaxy cluster,Virgo Cluster,,186.61288,12.7524
Galaxy cluster,Abell 3526,Mar-May,192.2158333,-41.30583333
Galaxy cluster,Fornax Cluster,Sep-Nov,54.625,-35.455
Emission nebula,NGC 2014,Dec-Feb,83.0968,-67.68882
Emission nebula,NGC 6334,Mar-May,260.212,-36.115
Emission nebula,RCW 120,Mar-May,258.1,-38.46666667
Emission nebula,M8,Jun-Aug,270.90417,-24.38667
Emission nebula,NGC 6729,Jun-Aug,285.4433333,-36.96111111
Emission nebula,NGC 1763,Sep-Nov,74.21458333,-66.40694444
Emission nebula,NGC 1936,Sep-Nov,80.55221667,-67.97553333
Star forming region,NGC 2070,Dec-Feb,84.675,-69.1
Star forming region,NGC 3603,Mar-May,168.8275,-61.25722
Star forming region,M20,Jun-Aug,270.675,-22.97167
Star forming region,NGC 346,Sep-Nov,14.77121,-72.1759
Planetary nebula,NGC 2899,Dec-Feb,141.76195,-56.10586
Planetary nebula,ESO 378-1,Mar-May,171.682363,-34.36977188
Planetary nebula,IC 5148,Jun-Aug,329.89607,-39.38523
Planetary nebula,NGC 7293,Sep-Nov,337.41035,-20.83715
Planetary nebula,NGC 1360,,53.31102999,-25.8716614
Reflection nebula,IC 2220,Dec-Feb,119.21375,-59.12528
Reflection nebula,NGC 3372,Mar-May,161.07617,-59.89217
Reflection nebula,NGC 6559,Jun-Aug,272.5,-24
Supernova Remnant,NGC 2736,Dec-Feb,135.0708,-45.9158
Supernova Remnant,LMC N49,,81.50158,-66.084
Supernova Remnant,RCW 86,Mar-May,220.12083,-62.645
Supernova Remnant,RCW 103,Jun-Aug,244.3875,-51.03333
Young Open cluster,NGC 2169,Dec-Feb,92.1,13.99
Young Open cluster,M16,Jun-Aug,274.7,-13.80667
Old Open Cluster,Trumpler 5,,99.12,9.47
Old Open Cluster,NGC 6749,Mar-May,286.314,1.9
Old Open Cluster,NGC 6802,Jun-Aug,292.65,20.25944444
Old Open Cluster,NGC 1817,Sep-Nov,78.0625,16.69
Globular cluster,Sextans C,Dec-Feb,151.379,-0.07094
Globular cluster,NGC 5053,Mar-May,199.11196,+17.70083
Globular cluster,M71,Jun-Aug,298.4437083,+18.77919444
Globular cluster,M15,Sep-Nov,322.49304,12.167
Spiral Galaxy,M96,Dec-Feb,161.6906,11.81994
Spiral Galaxy,M88,Mar-May,187.99673,+14.42041
Spiral Galaxy,M90,,189.20911,+13.16370
Spiral Galaxy,NGC 5364,,209.05002,5.01446
Spiral Galaxy,NGC 7606,Jun-Aug,349.77002,-8.48514
Spiral Galaxy,NGC 7814,Sep-Nov,0.81227917,16.14522778
Barred Spiral Galaxy,M91,Mar-May,188.86012,14.49632
Barred Spiral Galaxy,NGC 6384,Jun-Aug,263.10126,7.06027
Barred Spiral Galaxy,NGC 1300,Sep-Nov,49.92102,-19.41115
Elliptical Galaxy,M59,Dec-Feb,190.50967,+11.64693
Elliptical Galaxy,M49,Mar-May,187.44499,+08.00041
Elliptical Galaxy,M87,,187.7059308,12.39112329
Elliptical Galaxy,NGC 7619,Jun-Aug,350.06052,8.20629
Elliptical Galaxy,NGC 1600,Sep-Nov,67.916075,-5.08610278
Irregular Galaxy,IC 3583,Mar-May,189.1814917,+13.25914722
Irregular Galaxy,NGC 6822,Jun-Aug,296.23416,-14.79758
Irregular Galaxy,IC 1613,Sep-Nov,16.22583,2.13333
Starburst Galaxy,NGC 4666,Mar-May,191.28615,-0.46191
Lenticular Galaxy,NGC 3115,Dec-Feb,151.30824,-7.71858
Lenticular Galaxy,M84,Mar-May,186.2656,12.88698
Lenticular Galaxy,NGC3115,,151.30824,-7.71858
Lenticular Galaxy,NGC 676,Sep-Nov,27.2375,5.9075
Lenticular Galaxy,NGC 660,,25.75979,13.64568
Interacting Galaxies,NGC 3227,Dec-Feb,155.87737,19.86508
Interacting Galaxies,NGC4038,Mar-May,180.47848,-18.87743
Interacting Galaxies,NGC 6240,Jun-Aug,253.24525,2.40099
Interacting Galaxies,NGC 520,Sep-Nov,21.14613,3.79241
Dwarf Galaxy,PGC 29488,Dec-Feb,152.11717,+12.30488
Dwarf Galaxy,Sextans A,Mar-May,152.7520833,-4.69166667
Dwarf Galaxy,SagDIG,Jun-Aug,292.4958,-17.6781
Galaxy cluster,Abell 744,Dec-Feb,136.83309,16.65624
Galaxy cluster,Abell 2151,Mar-May,241.34715,+17.75676
Galaxy cluster,Abell 2366,Jun-Aug,325.705875,-6.85441667
Galaxy cluster,Abell 412,Sep-Nov,46.571667,-0.142944
Emission nebula,NGC 2359,Dec-Feb,109.625,-13.22666667
Emission nebula,IC 1284,Jun-Aug,274.425,-19.66667
Emission nebula,NGC 2024,Sep-Nov,85.42916667,-1.84166667
Star forming region,M42,Dec-Feb,83.82208,-5.39111
Star forming region,M17,Jun-Aug,275.29876,-16.14433
Planetary nebula,NGC 2392,Dec-Feb,112.29486,20.9118
Planetary nebula,NGC 3242,Mar-May,156.19222,-18.6423
Planetary nebula,NGC 6781,Jun-Aug,289.61704,6.53869
Planetary nebula,NGC 246,Sep-Nov,11.76392533,-11.87193753
Reflection nebula,IC 4601,Dec-Feb,245.10833,-20.16
Reflection nebula,M48,Dec-Feb,86.69083,0.07917
Reflection nebula,NGC 6590,Jun-Aug,274.275,-19.865
Young Open cluster,NGC 2192,Dec-Feb,93.82,39.868
Young Open cluster,IC 5146,Jun-Aug,328.35,47.26667
Young Open cluster,IC 1848,Sep-Nov,42.777,60.41
Young Open cluster,NGC 663,Sep-Nov,26.5375,61.235
Old Open Cluster,NGC 2266,Dec-Feb,100.834,26.985
Old Open Cluster,NGC 752,Mar-May,29.42083333,37.785
Old Open Cluster,NGC 6791,Jun-Aug,290.2208333,37.77166667
Old Open Cluster,NGC 7789,Sep-Nov,359.35,56.70833333
Globular cluster,NGC 2419,Dec-Feb,114.53508,+38.88017
Globular cluster,M13,Mar-May,250.42348,36.46132
Globular cluster,M92,Jun-Aug,259.28079,+43.13594
Globular cluster,Palomar 2,Sep-Nov,71.524625,+31.38150000
Spiral Galaxy,NGC 3184,Dec-Feb,154.57038,41.42322
Spiral Galaxy,M101,Mar-May,210.80243,54.34875
Spiral Galaxy,M51,Mar-May,202.46957,+47.19526
Spiral Galaxy,M106,Mar-May,184.74008,47.30372
Spiral Galaxy,M33,Sep-Nov,23.4621,+30.65994
Barred Spiral Galaxy,M109,Dec-Feb,179.39993,53.37452
Barred Spiral Galaxy,NGC 2903,Mar-May,143.04213,21.50083
Barred Spiral Galaxy,NGC 6951,Jun-Aug,309.30883,66.10558
Barred Spiral Galaxy,NGC 925,Sep-Nov,36.82047,22.57888
Elliptical Galaxy,NGC 3610,Dec-Feb,169.6053167,58.78624722
Elliptical Galaxy,NGC 4125,Mar-May,182.0250708,65.17413333
Elliptical Galaxy,NGC 4589,,189.3541,74.1919
Elliptical Galaxy,NGC 5982,Jun-Aug,234.66574,59.35589
Elliptical Galaxy,Maffei 1,Sep-Nov,3914779,59.65459
Irregular Galaxy,NGC 2366,Dec-Feb,112.225112.21604,69.20864
Irregular Galaxy,NGC 4449,Mar-May,187.04632,40.09356
Irregular Galaxy,IC 1727,Sep-Nov,26.87454,27.33335
Starburst Galaxy,M82,Dec-Feb,148.96846,69.6797
Starburst Galaxy,NGC 3921,Mar-May,177.77864,50.07872
Starburst Galaxy,M64,Mar-May,194.18207,21.68266
Starburst Galaxy,NGC 6946,Jun-Aug,308.71805,60.15368
Starburst Galaxy,IC 10,Sep-Nov,5.0965,59.29297
Lenticular Galaxy,NGC 2655,Dec-Feb,133.90721,78.22308
Lenticular Galaxy,NGC4111,Mar-May,181.76303,43.06539
Lenticular Galaxy,NGC 252,Sep-Nov,12.00618,27.62382
Interacting Galaxies,NGC 4676A,Mar-May,191.5419167,30.73184444
Interacting Galaxies,Arp 293,Jun-Aug,254.61583,58.94667
Interacting Galaxies,NGC 7752,Sep-Nov,356.75804,29.47466
Dwarf Galaxy,PGC 34176,Dec-Feb,168.3672083,+22.15280556
Dwarf Galaxy,NGC 4214,Mar-May,183.91322,36.32689
Dwarf Galaxy,NGC 5474,,211.2567,53.66221
Dwarf Galaxy,Draco Dwarf Galaxy,Jun-Aug,260.05973,57.92122
Dwarf Galaxy,NGC 1569,Sep-Nov,67.70494167,+64.84792222
Dwarf Galaxy,M32,,10.67427,40.86517
Galaxy cluster,Abell 569,Dec-Feb,107.29333,48.61944
Galaxy cluster,Abell 1656,Mar-May,194.948,+27.98578
Galaxy cluster,Abell 2218,Mar-May,248.975,66.21666667
Galaxy cluster,Abell 2255,Jun-Aug,258.2085,64.05294444
Galaxy cluster,Abell 426,Sep-Nov,49.94527,41.51375
Galaxy cluster,Perseus Cluster,,49.8414,41.50885
Emission nebula,NGC 1499,Dec-Feb,60.825,36.42167
Emission nebula,Sh2-106,Jun-Aug,306.86141,+37.37976
Emission nebula,NGC 1491,Sep-Nov,60.81819,+51.31549
Emission nebula,Sh2-201,Sep-Nov,45.8244583,+60.46455018
Star forming region,NGC 1579,Dec-Feb,67.546,35.279
Star forming region,IC 1396A,Jun-Aug,324,57.4
Star forming region,NGC 7822,Sep-Nov,0.28575,+67.42138889
Planetary nebula,M97,Dec-Feb,168.6988,55.01902
Planetary nebula,M27,Jun-Aug,299.90151,22.7212
Planetary nebula,M76,Sep-Nov,25.58192,51.57543
Reflection nebula,IC 444,Dec-Feb,94.69494,23.32381
Reflection nebula,IC 5076,Jun-Aug,314,47.4
Reflection nebula,Sh2-185,Sep-Nov,15,60.98333
Reflection nebula,NGC 1333,Sep-Nov,52.297,31.31
Supernova Remnant,M1,Dec-Feb,83.63346,22.0152
Supernova Remnant,NGC 6960,Jun-Aug,311.40833,30.70833
Supernova Remnant,IC 443,Sep-Nov,94.51125,22.66